rocketman;1;;;;;1
crazy ex girlfriend;1;;;;;1
atypical;1;1;;;;2
the morning show;1;;;;;1
this is us;1;1;1;1;;4
vientos de agua;1;;;;;1
modern love;1;;;;;1
si no te hubiera conocido;1;1;;;;2
i origins;1;1;;;;2
the blackkklansman;1;1;;;;2
marriage story;1;1;;;;2
el metodo kominsky;1;1;;;;2
succession;1;1;1;;;3
gran torino;1;;;;;1
the good place;1;;;;;1
young sheldon;1;;;;;1
el club de los poetas muertos;1;1;;;;2
skin;1;;;;;1
a prayer before down;1;;;;;1
the espectacular now;1;;;;;1
remember;1;;;;;1
leave no trace;1;;;;;1
the florida project;1;;;;;1
into the wild;1;1;;;;2
merli;1;;;;;1
te atrape;1;;;;;1
mindhunter;1;1;1;;;3
how to get away with murder;1;1;;;;2
community;1;;;;;1
cuenta regresiva;1;1;;;;2
snatch;1;;;;;1
monzon;1;;;;;1
vivir dos veces;1;1;1;1;;4
after life;1;1;1;1;1;5
dereck;1;;;;;1
please like me;1;1;;;;2
el niño que domo el viento;1;;;;;1
la piel que habito;1;;;;;1
unbelievable;1;;;;;1
parasite;1;1;1;1;;4
el sabor de las margaritas;1;;;;;1
outlander;1;;;;;1
black sails;1;;;;;1
lucifer;1;;;;;1
el gran gatsby;1;;;;;1
the farewell;1;;;;;1
3 anuncios por un crimen;1;;;;;1
predestination;1;;;;;1
fleabag;1;1;1;;;3
scandal;1;;;;;1
orphan black;1;;;;;1
tabula rasa;1;1;;;;2
barry;1;;;;;1
3096 dias;1;;;;;1
the fundamentals of caring;1;;;;;1
inconcebible;1;;;;;1
manchester by the sea;1;;;;;1
inception;1;;;;;1
mr robot;1;1;1;;;3
chernobyl;1;1;;;;2
el precio del mañana;1;;;;;1
el profesor;1;;;;;1
grimm;1;;;;;1
bones;1;;;;;1
sin filtro;1;;;;;1
las ventajas de ser invisible;1;;;;;1
house of cards;1;;;;;1
the perks of being a wallflower;1;;;;;1
the giver;1;;;;;1
sociedad de consumo;1;;;;;1
el guardian invisible;1;;;;;1
i, daniel blake;1;;;;;1
killing eve;1;1;;;;2
the act (la serie);1;;;;;1
el señor de las moscas;1;;;;;1
the alienist;1;;;;;1
the whitcher;1;;;;;1
La ola;1;;;;;1
el ministerio del tiempo;1;;;;;1
six feet under;1;;;;;1
the OA;1;;;;;1
the handmaid’s tail;1;;;;;1
colonia;1;;;;;1
master of none;1;;;;;1
arrival;1;;;;;1
a silent voice;1;;;;;1
anne with an e;1;;;;;1
orange is the new black;1;;;;;1
bojack horseman;1;1;;;;2
watchmen;1;;;;;1
soundtrack;1;;;;;1
capitan fantastico;1;;;;;1
la isla siniestra;1;;;;;1
DR house;1;;;;;1
okja;1;;;;;1
a portrait of a lady on fire;1;;;;;1
bombshell;1;;;;;1
the lighthouse;1;;;;;1
halt and catch fire;1;;;;;1
el guardaespalda;1;;;;;1
okupas;1;;;;;1
el puntero;1;;;;;1
utopia;1;;;;;1
